상품명	출판사/제작사	저자/아티스트	대여상태
한계선을 넘다	황금가지	크래프톤 지음	0
아버지의 해방일지	창비	정지아 지음	1
트렌드 코리아 2023	미래의창	김난도 외 지음	0
인생의 역사	난다	신형철 지음	0
조국의 법고전 산책	오마이북	조국 지음	1
이은경쌤의 초등어휘일력 365 (스프링)	포레스트북스	이은경 지음	1
이상한 과자 가게 전천당 16	길벗스쿨	 히로시마 레이코 지음, 쟈쟈 그림, 김정화 옮김 	0
인생의 허무를 어떻게 할 것인가	사회평론아카데미	김영민 지음	0
불편한 편의점 2 (단풍 에디션)	나무옆의자	김호연 지음	0
위험한 편의점 시즌1 스페셜 패키지 - 전2권	blackD(블랙디)	945 지음	0
나의 문화유산답사기 11 : 서울편 3	창비	유홍준 지음	0
흔한남매 과학 탐험대 6 : 물리 2	주니어김영사	 김덕영 그림, 이현진 외 글, 김희목 감수, 김희목 외 기획, 흔한남매 원작 	0
하얼빈	문학동네	김훈 지음	1
나의 문화유산답사기 12 : 서울편 4	창비	유홍준 지음	0
역행자	웅진지식하우스	자청 지음	1
작은 땅의 야수들	다산책방	 김주혜 지음, 박소현 옮김 	0
불편한 편의점 (40만부 기념 벚꽃 에디션)	나무옆의자	김호연 지음	0
아주 오랜만에 행복하다는 느낌	창비	백수린 지음	1
랑랑 형제 떡집	비룡소	 김리리 지음, 김이랑 그림 	0
에그박사 8	미래엔아이세움	 에그박사 지음, 홍종현 그림, 박송이 글, 이승현 감수 	0
세상에서 가장 쉬운 본질육아	21세기북스	지나영 지음	0
파친코 2	인플루엔셜(주)	 이민진 지음, 신승미 옮김 	0
마흔에 읽는 니체	유노북스	장재형 지음	0
이토록 평범한 미래	문학동네	김연수 지음	0
 우리, 편하게 말해요 	웅진지식하우스	이금희 지음	1
지박소년 하나코 군 18 (특장판)	서울미디어코믹스(서울문화사)	 아이다이로 지음, 장혜영 옮김 	0
너를 빛나게 할 일들이 기다리고 있어	웅진지식하우스	황현 지음	0
파친코 1	인플루엔셜(주)	 이민진 지음, 신승미 옮김 	0
원피스 103	대원씨아이(만화)	오다 에이치로 지음	0
나의 월급 독립 프로젝트 (리마스터 에디션)	리더스북	유목민 지음	0
 물고기는 존재하지 않는다 (리커버 특별판, 양장) 	곰출판	 룰루 밀러 지음, 정지인 옮김 	0
인간의 일에 대하여	미행	 뤽 다르덴 지음, 조은미 옮김 	1
아기를 부르는 그림	북스피어	 미야베 미유키 지음, 이규원 옮김 	0
거의 모든 일상 표현의 영어	사람in	케빈 강.해나 변 지음	0
이상한 집	리드비	 우케쓰 지음, 김은모 옮김 	0
ETS 토익 정기시험 기출문제집 1000 Vol. 3 Reading (리딩)	(주)YBM(와이비엠)	ETS 엮음	1
멘탈리티	푸른숲	 팀 그로버.샤리 웽크 지음, 서종기 옮김 	1
이 책은 돈 버는 법에 관한 이야기	라곰	고명환 지음	0
너무 잘하려고 애쓰지 마라	열림원	나태주 지음	0
ETS 토익 정기시험 기출문제집 1000 Vol. 3 Listening (리스닝)	(주)YBM(와이비엠)	ETS 엮음	0
사카모토 데이즈 7	대원씨아이(만화)	스즈키 유우토 지음	0
아파트 투자는 사이클이다	여의도책방	이현철 지음	0
회복력 시대	민음사	 제러미 리프킨 지음, 안진환 옮김 	0
 2022 큰별쌤 최태성의 별★별한국사 한국사능력검정시험 심화(1, 2, 3급) 상 	이투스북	최태성 지음	0
슬픔이 택배로 왔다	창비	정호승 지음	0
랑과 나의 사막	현대문학	천선란 지음	0
 2022 큰별쌤 최태성의 별★별한국사 한국사능력검정시험 심화(1, 2, 3급) 하 	이투스북	최태성 지음	0
최재천의 동물대탐험 1 : 비글호의 푸른 유령	다산어린이	 최재천 기획, 박현미 그림, 황혜영 글, 안선영 해설 	0
365일 명화 일력 (윈터 에디션 한정판) (스프링)	빅피시	김영숙 지음	0
Stick 스틱! (15주년 기념판)	웅진지식하우스	 칩 히스.댄 히스 지음, 안진환.박슬라 옮김 	0
미술관 읽는 시간	쌤앤파커스	정우철 지음	0
해커스 토익 기출 보카 TOEIC VOCA 단어장	해커스어학연구소(Hackers)	데이빗 조 (David Cho) 지음	0
나는 오래된 거리처럼 너를 사랑하고	문학과지성사	진은영 지음	0
조셉 머피 부의 초월자	다산북스	 조셉 머피 지음, 조율리 옮김 	1
스튜디오 지브리 입체건축전 도록	학산문화사(만화)	스튜디오 지브리 지음	0
원씽 The One Thing (리커버 특별판)	비즈니스북스	 게리 켈러 & 제이 파파산 지음, 구세희 옮김 	1
데일 카네기 인간관계론	현대지성	 데일 카네기 지음, 임상훈 옮김 	0
만일 내가 인생을 다시 산다면 (10만 부 기념 스페셜 에디션)	메이븐	김혜남 지음	0
망그러진 만화	좋은생각	유랑 지음	0
유난한 도전	북스톤	정경화 지음	0
털실타래 Vol.2 (2022년 겨울호)	한즈미디어(한스미디어)	일본보그사 지음	0
우중괴담	북로드	 미쓰다 신조 지음, 현정수 옮김 	0
흔한남매 이상한 나라의 고전 읽기 2	미래엔아이세움	 정주연 그림, 최재훈 글, 흔한남매 외 감수 	0
밥 프록터 생각의 시크릿	페이지2(page2)	 밥 프록터.그레그 S. 레이드 지음, 김잔디 옮김, 조성희 감수 	1
정재승의 인간 탐구 보고서 10	아울북	 정재승 기획, 정재은.이고은 글, 김현민 그림 	0
 비전 : 「빛」,「색」,「구성」으로 스토리를 전한다! 	잼스푼	 한스 P. 바커.사나탄 수리아반쉬 지음, 윤효원 옮김 	0
주술회전 20	서울미디어코믹스(서울문화사)	 아쿠타미 게게 지음, 이정운 옮김 	1
 돈의 속성 (200쇄 리커버 에디션, 양장) 	스노우폭스북스	김승호 지음	0
자이언트 임팩트	웅진지식하우스	박종훈 지음	0
단순한 열정 (무선)	문학동네	 아니 에르노 지음, 최정수 옮김 	0
그레이트 리세션 2023년 경제전망	지식노마드	김광석 지음	0
